2026-06-03 18:49:29.194 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-03 18:49:29.227 [main] INFO  c.e.s.SpringFlywayApplicationKt - Starting SpringFlywayApplicationKt using Java 25 with PID 11604 (C:\Users\pavel\Desktop\Web2\lab5\target\classes started by pavel in C:\Users\pavel\Desktop\Web2\lab5)
2026-06-03 18:49:29.228 [main] DEBUG c.e.s.SpringFlywayApplicationKt - Running with Spring Boot v3.1.5, Spring v6.0.13
2026-06-03 18:49:29.228 [main] INFO  c.e.s.SpringFlywayApplicationKt - No active profile set, falling back to 1 default profile: "default"
2026-06-03 18:49:29.670 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-03 18:49:29.718 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 4 JPA repository interfaces.
2026-06-03 18:49:30.097 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-03 18:49:30.104 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-03 18:49:30.105 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-03 18:49:30.105 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2026-06-03 18:49:30.181 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-03 18:49:30.181 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 909 ms
2026-06-03 18:49:30.264 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-03 18:49:30.381 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4351ed61
2026-06-03 18:49:30.382 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-03 18:49:30.437 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-06-03 18:49:30.437 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-06-03 18:49:30.437 [main] INFO  o.f.c.i.license.VersionPrinter - 
2026-06-03 18:49:30.449 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5433/postgres (PostgreSQL 17.10)
2026-06-03 18:49:30.458 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 17.10 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
2026-06-03 18:49:30.497 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.025s)
2026-06-03 18:49:30.511 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 5
2026-06-03 18:49:30.515 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2026-06-03 18:49:30.574 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-03 18:49:30.626 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2026-06-03 18:49:30.628 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2026-06-03 18:49:30.842 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-03 18:49:31.293 [main] INFO  o.h.m.i.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: com.example.springflyway.adapter.out.persistence.entity.DishEntity (class must be instantiated by Interceptor)
2026-06-03 18:49:31.314 [main] INFO  o.h.m.i.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: com.example.springflyway.adapter.out.persistence.entity.RestaurantEntity (class must be instantiated by Interceptor)
2026-06-03 18:49:31.403 [main] INFO  o.h.m.i.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: com.example.springflyway.adapter.out.persistence.entity.UserEntity (class must be instantiated by Interceptor)
2026-06-03 18:49:31.534 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-03 18:49:31.575 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-03 18:49:31.961 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-06-03 18:49:32.362 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-03 18:49:32.570 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-03 18:49:32.582 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-03 18:49:32.588 [main] INFO  c.e.s.SpringFlywayApplicationKt - Started SpringFlywayApplicationKt in 3.773 seconds (process running for 4.023)
2026-06-03 18:50:28.556 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-03 18:50:28.558 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-03 18:50:28.561 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
